Q9Y5P4	O75298
P82094	Q01196
Q3YBR2	Q16619
P10589	Q9UKT4
P07602	P57060
O14733	P06753
Q9P1W9	Q9H4L4
Q9UPR6	Q8WW12
P07919	O75688
Q16512	P23588
P01040	Q9P2R3
Q9H095	P07954
Q8NFD5	O75937
Q12929	Q13751
Q92831	Q14498
P52594	P55055
Q9NR09	Q00987
P49915	Q14005
Q00577	O75444
P43363	O00237
Q9H4A3	Q01196
O94906	Q9HAV7
P28340	P12931
Q8IVL0	P22087
Q5QJE6	A8MV65
P62195	Q96DU7
Q9Y2W7	Q8N344
Q9BUG6	P23508
Q9BYW2	Q9H0E9
Q16513	Q96IV0
O00267	Q99757
O75031	Q9Y606
P11717	Q13541
Q16623	Q14145
Q9H2U1	O14776
Q9UMX1	O00264
Q9Y2K7	P18847
Q9C0B0	Q8IYE0
P36543	Q96L08
O96028	P38936
Q99593	O60516
O00750	P49815
P37231	Q9UH92
P50458	Q9GZT9
Q9BZW7	P07954
Q15022	P08648
Q14203	P38606
Q9UKT9	Q02878
O75533	Q2NKX8
Q99608	Q9H0E3
P49736	Q9Y4H2
O43763	Q16637
P04040	Q5VYS8
Q8N1G4	Q93052
Q14289	Q9UJY4
Q16665	Q16787
P61218	P67809
O60447	Q13442
P23511	Q15435
Q9BZE1	O00422
Q12982	Q02750
P19793	O14497
O60476	Q5RKV6
P24592	Q15006
O15169	Q4G0J3
Q15276	O00418
Q9NR09	Q9NP77
P49137	O95340
P62266	Q15418
Q9NPG3	Q9NRL3
O75396	P02686
Q8N137	Q9BU64
P46089	Q96BT7
Q9BXB1	P49915
O15357	O00418
P63167	Q16619
Q9BQ67	Q92585
Q9UHR5	Q99848
O00499	Q9UBU7
Q8NG27	Q8N4C6
P55055	Q9Y3B8
O14508	Q5T5U3
Q8IYB3	P11717
Q15699	Q96GY3
Q12982	O60869
Q7LFX5	P49116
Q09161	Q14241
P35606	Q13620
Q9P1U0	P63167
P28799	P12821
Q8NFZ5	P50458
Q96JP5	O00418
P55040	Q01484
O95197	Q13435
P22695	Q9P0R6
P24522	Q9NS56
P14859	Q504T8
Q02297	Q9NS56
Q15011	Q02447
O14646	Q96A65
P46734	Q8IWU2
P42768	Q9UDV6
P46734	Q9H095
Q92797	Q04724
Q15906	Q7L2Z9
Q15910	O60481
Q63ZY3	Q8N543
O60506	Q9UKA4
Q05823	P22087
O14646	Q9HCH5
O00487	P20749
P0C0L4	A6NHR9
Q96JP5	P49137
Q15056	Q9UQN3
Q16787	Q99996
Q02218	Q16254
P06748	Q92619
P23276	Q9BZE9
P22695	Q9H3Q1
Q7LG56	O00311
P11387	Q9NRY5
O75145	Q9P2R3
Q96RL1	O43633
Q8TAE8	Q8N4C6
Q9P1W9	P10636
Q13627	Q9UKY1
Q9H992	Q13216
O15530	O15457
Q07864	O60506
Q16836	Q9BVJ6
Q63ZY3	Q96IK5
P37837	Q9NYQ6
Q99757	Q96DF8
Q8IXK0	Q15910
Q92917	P50991
Q9UKI8	Q8IZ69
P23511	Q7L4I2
Q13287	O60346
Q53GS9	Q13287
Q02930	Q3SY00
Q9Y508	P05114
P08473	Q8TB36
Q16836	Q9UKG1
P36543	Q9BZ95
P49137	O43709
Q8TAB5	Q9H4A6
Q92900	O00422
P53350	Q9Y2J2
Q86VQ0	Q12888
Q9BV40	Q99814
P32745	Q01726
Q8TDN4	Q8N4C7
P18754	Q5XPI4
P36543	Q9GZR2
P56715	Q96A56
Q9H0E9	Q13562
P49903	Q96FV2
Q13952	P07954
Q9UIL1	Q8N4C7
Q8IZ69	Q9BWC9
P30622	O60566
Q15834	Q8IWV7
O75821	P46939
P62917	P17861
Q15910	Q8N488
Q8N137	Q8N5Z5
Q9UGN5	Q7Z699
Q15003	Q9C0B0
P22695	P68402
P01100	Q15022
P40926	Q15046
O14646	P19429
Q9Y467	Q9Y291
Q86UT5	Q6PCD5
P49715	P18754
Q16836	Q9H1I8
Q8N2I9	P49711
Q15404	Q96DU7
P49915	O14682
Q13228	Q12931
Q8N137	Q8WXA9
Q9P2K1	Q96F24
Q96LZ3	Q96FS4
P46531	Q9NYZ3
Q15041	Q16401
O00488	Q9H9F9
Q96IK5	Q92886
P28340	Q9BVQ7
Q96PM5	Q9NX09
P12814	Q68CL5
Q01196	P27635
O95785	Q16619
Q5M775	Q8N2I9
Q9HA38	Q16512
Q9P1W9	Q9C0H5
Q16513	Q9NX46
Q13228	O00295
P11717	P61328
P17600	Q16236
Q14444	Q9UQN3
P40926	P46939
O95817	P32745
Q6NUQ1	Q7Z699
Q9P0M9	P62807
O94906	Q5VUA4
Q8TD20	O75688
P07602	Q8TES7
Q96MU7	Q9NSA3
P04150	Q9NRC8
Q9UBF2	P15927
O00499	O14490
Q01201	Q9P0N5
Q9NS56	Q86UW6
O15304	Q9UH92
P46734	Q9P127
Q9NZ52	Q96FS4
Q15836	Q96PU4
P82094	P07108
Q9UIL1	Q9Y606
Q9NPG3	Q9ULR5
Q9H9S0	P22087
P48634	O43815
O00555	P18847
Q96EI5	Q9NSV4
Q8N2M8	Q9Y291
Q02218	Q9H6S0
Q93008	Q6IAA8
Q9Y3C5	Q14498
P56524	Q8WWH5
Q6IAA8	O14974
Q96GM8	Q6ZU65
Q8IZL8	O43791
Q8TAB5	Q9ULE3
P37231	Q15011
Q9P0M9	Q75QN2
P19793	P04637
A6NIV6	P02686
Q9Y5X4	P46089
Q27J81	Q9UHR5
Q86Y33	O00411
P10589	O14901
Q15198	Q9BYN8
Q0VG99	Q12766
Q9BV79	P02545
Q9HCM9	Q8IUD2
Q86TC9	Q8IYD8
Q9NX09	Q9BWC9
Q9GZU7	Q9NVE4
P61927	Q9H0C8
P07602	P35713
P28799	Q9Y244
Q92733	Q5RKV6
P00488	Q9Y3U8
Q96Q27	P62913
Q15276	P28072
Q9NPG3	O15530
P98170	Q9H307
Q9BRK5	Q9Y4H2
O15504	Q9UBB9
Q8TDC0	Q9GZU8
Q9UJP4	Q9UK76
P10071	P38936
Q86UU0	Q6PKC3
Q9P1W9	Q96CA5
P19793	P50151
Q7Z7F7	P51948
Q9BVQ7	Q13526
P07954	Q8TDD1
Q96CV9	Q16619
Q5RKV6	P48556
Q5SYC1	Q96KD3
Q02410	P48788
O75937	P39687
Q9NWB6	P05155
Q8WVV9	Q9H9B1
O15504	Q71DI3
Q9NPG3	Q7KZI7
P10636	P49116
P32745	P98177
Q9GZU7	Q96FW1
Q96E09	Q13352
P00736	P49116
P12821	Q9NQG5
Q9NRL2	Q15011
Q9P0J0	O60516
P04062	P12821
O15360	P07954
Q9UBS0	O14776
Q92831	O43763
P22695	P53539
Q7Z699	P21579
Q16836	Q2M1K9
P49790	P46734
Q12929	O15530
Q5T5U3	Q9UKY7
Q13287	Q7Z5R6
P29966	Q6U841
Q96EI5	O43293
P50222	Q00872
Q96CT2	Q12952
Q86WJ1	O14646
O95379	Q9NZ81
Q8IZT6	P43363
Q9HCD5	Q9NRX1
Q13769	O15457
P19793	Q49MG5
P23760	P22695
P16403	Q96Q27
Q9Y2T1	Q96Q27
P55347	Q92793
P33981	P51178
O75564	Q8TAB5
P50222	Q8N4C7
P78559	Q9NYQ6
O75182	Q9UBB6
Q8N344	Q96KP1
O94762	Q9NYA1
Q15011	Q9Y6I3
P35030	Q96FF9
Q9NQU5	Q8N5L8
Q6P4R8	Q9UKX7
Q7Z3B4	Q15022
Q9UPW0	P55209
P56715	P55072
Q9NR09	Q9Y6E2
Q9BU76	Q86X95
O75937	Q6P2H3
P98177	Q9P0K7
Q9UMX1	P01857
Q9BVQ7	Q9UQ26
Q96JH8	Q13435
O43593	Q09161
P07602	Q9Y2V7
Q9BU64	Q9Y291
Q9UMX1	Q75QN2
Q9UQF2	P14859
Q9ULW0	P67809
Q99683	Q9UBU7
P55347	Q9UBB6
O75340	Q6ZNC8
P19793	Q9Y520
P18146	Q13228
Q9P2R3	P06400
Q8N344	Q9UP38
Q16513	Q96GM8
Q14320	O75444
Q96EP1	P47736
Q9NWB6	Q9H5J0
P49915	Q5T1R4
Q14320	O14746
P23511	Q9NZU5
Q9NPC6	Q9P015
Q9BV40	Q13888
Q9Y2U8	Q9UHB4
P0C0L4	O75688
P42574	P0DPB6
Q9C0B0	P0C2W1
Q9Y508	P55316
P0C0L4	Q9P1W9
Q02878	P08047
Q6ZRS2	Q15025
Q99967	Q9NYZ3
P17735	P35520
P35250	P56524
Q8WZ42	Q9P0K8
P11717	O75901
Q8NDC4	Q8N4C6
Q9P287	Q9BX66
Q6PHW0	P67809
Q8IY57	O75688
Q15843	O75347
P13807	Q8N4C7
Q5VIR6	O43684
Q9H211	Q8N344
Q9UL17	Q9P0M9
Q96JH8	O75688
Q16513	P48382
Q5T5U3	P55884
P07108	P26651
Q9H8T0	Q7Z699
Q9BRK5	Q8N7H5
Q96M86	Q9BSW2
P52594	P32745
Q68CL5	O60682
Q16594	Q96FS4
Q9UBP4	Q8TF01
Q16513	O14908
P23276	Q96G74
Q9H2K2	P07108
O60610	Q9UKL0
P14854	Q7Z699
Q15544	O43791
O00311	Q9BRR8
Q6UN15	P82094
P11717	Q86XP3
O95721	Q9Y2U8
Q99757	Q9BQ69
P49903	Q9UBE0
Q16401	Q7L2Z9
Q13228	P09651
Q96QD9	Q75QN2
Q14289	P05204
P52594	P98170
Q9NRL3	Q9H204
Q9UHC7	Q16836
Q9BYW2	O94761
Q9H992	Q05519
Q9H4H8	Q8IVL1
Q99966	Q12952
P11717	O94913
Q13185	Q6ZNC8
Q9H3R0	Q16512
P17677	P06753
Q9NWB6	Q8TE76
P25963	Q6ZU65
P46100	Q02878
Q15699	P78356
Q8IXT5	P51178
Q9NYB0	P61247
P06454	Q86TC9
Q86X95	O14576
Q9UPR6	O43524
P46734	P47929
Q96HT8	P05204
Q16665	Q9UJP4
Q8N2I9	Q03468
O00488	O60563
Q96DU7	P54727
O60927	P14866
P11473	Q99608
Q9UBF2	Q9NQC3
Q96T21	O00418
P14859	Q5T4S7
O75901	O00422
P21127	Q86UX2
Q9C0B0	O76070
Q96NJ5	Q9BQI3
Q8N2I9	Q96PV0
P04264	Q93052
Q9BQ67	Q9P013
Q53GT1	Q8WZ73
Q92917	Q9UHR5
P15408	Q14289
Q86WJ1	Q9UDV6
O60220	Q13574
Q13546	P46089
Q9Y446	A8MV65
O75970	Q01201
Q7Z3U7	P55212
P28360	Q5VYS8
P78537	P62081
Q7Z3U7	P54727
Q9BW85	P62879
Q9Y2N7	P49116
P54920	Q53ET0
Q9BUG6	Q03468
O95336	P61927
O15232	O60516
Q9Y291	Q07021
Q8N543	Q8N1G4
P35250	P10827
Q13127	Q9UHX1
P30622	Q96IV0
Q9UMX1	Q9NTJ3
Q01826	Q6PGQ7
P38919	P43363
Q6P1X5	P35713
Q92619	P10242
O14508	Q8N4C7
O43815	Q86YV9
Q13561	O75182
Q9NRA8	P24592
Q96BT7	Q13435
O60285	Q96BT3
Q14320	Q6NUQ1
P04150	O43699
Q9UKJ3	Q9GZR7
Q9NYB0	Q15596
P22059	P54687
O75564	Q96DU7
P30566	Q9Y4H2
Q9BV40	Q9H4L4
P61927	Q9BRR8
Q14966	P09543
Q12874	Q2NKX8
P25054	Q9Y2U8
Q96NB3	P54687
Q96BK5	P38936
O75398	P49116
Q9UJX0	O15078
Q9BQS8	P18754
Q2NL98	Q8N4C6
O75474	Q96PE2
P35250	P0C2W1
Q9UBF2	Q96RN5
Q15003	P49736
Q96JC9	Q96FS4
Q49MG5	Q15025
P78537	O95257
O00193	P22674
O75376	Q15418
A0JLT2	O60610
P30519	Q15011
O75379	Q8WXX7
Q8IWS0	Q04724
Q8N205	P46109
P49715	P49915
Q9UJP4	Q8WV28
P49915	P63104
Q96KB5	Q12952
O43763	Q96RR1
P78559	P32745
P01100	Q9NRY5
O14810	P43363
Q13562	O75486
P46734	P84074
P14866	Q9Y6Y8
Q9NXS2	Q96NJ5
Q9P287	P23508
Q08379	Q96FS4
P50458	P56524
Q9UIL1	Q9Y2U8
Q9UHK0	Q6PKC3
Q9NP77	Q8N4C6
Q12982	Q6PGP7
Q9HCM7	Q5VWQ8
Q9UHV9	P43363
P50222	Q5RKV6
P46109	P16949
Q8TDN6	P38606
Q9P1U0	Q8NB90
O00411	Q6PGQ7
Q8NHZ8	Q99536
Q6UUV9	O14776
P49815	Q9UN36
Q6P1X5	Q9NQG5
Q8N2I9	P43351
Q13163	Q16619
P55040	P0C1Z6
P20749	Q13627
P50458	Q9NP81
P51532	Q9UKJ3
Q9UBF2	Q96SB4
P46734	P43243
P13807	Q14498
Q86XN8	Q9BUG6
Q5T750	P24588
P49005	Q12952
Q96AQ6	O14776
Q7Z6G3	P61927
Q93074	P48539
Q9H307	Q5VYS8
P33981	Q9NYZ3
O00264	Q02818
Q9NSI2	Q4G0J3
Q9GZU7	P05114
P35250	Q2M1K9
Q96QD9	O15304
Q13546	Q9HCC0
Q8TBN0	P98170
Q9Y3E7	Q6ZU65
Q6PGP7	Q8N344
Q02750	Q14289
Q8N5M4	Q9P0K7
P02751	Q5T5U3
Q14320	Q5U623
O60684	Q96BT3
P61964	Q9H5N1
Q12982	Q8WY36
Q5VV67	O14490
O15234	Q8N543
Q96KC8	P07954
P55265	Q9UKJ3
Q86YP4	P78537
O60285	Q9UKL0
Q13263	O14497
Q2M1P5	P61927
Q8WXI9	P49815
Q92831	Q86X95
Q9NYB0	Q9UI36
P14859	O95835
P21127	Q8TD17
Q01538	P09651
Q14789	P35612
Q8IUD2	O60664
P11387	O15511
Q00341	Q8N543
O15357	Q96KD3
Q6DN90	P14859
P42704	Q15836
Q16821	P18847
Q13228	O75533
O15504	P57740
Q01201	Q8WUM0
Q14498	Q8WVZ9
Q16512	Q96RI1
O00487	Q9HCU9
Q5T5U3	Q99081
Q8NCN4	Q9UBU7
Q9BRK5	P40939
Q15022	Q9ULE3
Q12766	Q8NBJ5
Q9Y520	O00311
Q6NZ67	Q9UHR5
P61952	Q53ET0
Q9Y291	Q6P1M3
Q9P0M9	Q9H0A6
Q09161	Q9P0K8
P14635	O75937
Q6ZNC8	Q8WXX7
P17096	Q13627
Q96P70	Q16619
Q9Y2U8	Q96A65
Q13127	Q96P66
P48444	O00488
Q8N4N3	P50991
O95817	Q9Y5M8
Q7RTS1	O60506
Q05519	A8MV65
Q12929	Q00839
Q92932	Q6EMB2
Q06330	Q93074
P61218	Q9UQN3
P12821	P48539
O43593	Q9H8S9
Q9BQG0	P54687
Q96EV2	Q6ZNC8
O60447	O14908
O94913	Q9H9B1
O94986	P49116
Q92585	Q8N4C6
P47985	Q14498
Q96S55	Q92932
Q06609	P12821
O75688	P26368
P00488	Q01804
Q9GZU7	O00401
Q9H204	Q15459
Q6PKC3	P30307
Q02410	Q86XN8
O15042	Q4G0J3
Q53GL0	P24864
Q7Z3K3	Q15025
Q5T1R4	P32745
O75128	P61927
Q8IVL1	P40424
P63010	Q9BV79
Q15699	Q9UKT4
Q9NVI1	Q13263
P51532	Q9BUG6
P78539	P49711
Q9H5N1	Q2YD98
Q9P031	Q9UBU7
Q68CP9	P50991
O75400	O75128
Q9H334	Q9UKL0
P36543	Q15672
Q9GZZ9	Q9HCD5
O95865	Q96CT7
Q6PGQ7	Q9GZV5
Q12874	Q9UDV6
Q8TDN4	Q9NPG3
Q96PM5	O94906
Q13043	P32745
Q07812	Q9NZ81
Q14789	Q8NBZ0
Q8N137	Q3ZCQ8
Q9NYB0	Q9H0C8
O00418	O00233
O43593	O60343
Q9UKL0	Q13085
Q9BXJ5	Q6ZNC8
Q9ULE3	P49736
Q9UBP4	P52306
Q96EP0	P43363
Q92905	P50991
Q99608	Q5VV63
Q6PCD5	Q9NSV4
Q13228	Q8NCP5
Q9NYF0	Q15418
O43290	Q3SY00
Q8WY36	Q9NYQ6
O60220	Q13200
P11836	P53999
Q7LFX5	Q99757
P22087	Q8N5U6
Q96J01	Q9H5N1
Q86VQ0	Q9UBK7
Q01201	P49321
O75396	O14490
Q99853	Q8WWH5
P17600	P98082
Q86Y33	Q9NW82
Q9UG63	Q13352
Q68E01	Q02878
Q9UJP4	P61221
P23511	Q8TDZ2
Q15834	O00295
Q92797	P12931
Q9UBP4	P09651
Q9H0F5	Q9BUG6
Q5T750	Q16832
O15294	Q99536
